Log file created at: 2014/12/30 15:22:17
Running on machine: ubuntu2
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I1230 15:22:17.527811  8870 serialized_row_reader.hpp:64] mem_size_ = 24
I1230 15:22:17.527822  8870 serialized_row_reader.hpp:64] mem_size_ = 24
I1230 15:22:17.527827  8870 serialized_row_reader.hpp:64] mem_size_ = 24
I1230 15:22:17.527832  8870 serialized_row_reader.hpp:64] mem_size_ = 24
I1230 15:22:17.527835  8870 serialized_row_reader.hpp:64] mem_size_ = 24
I1230 15:22:17.527959  8870 serialized_row_reader.hpp:64] mem_size_ = 24
I1230 15:22:17.527986  8870 serialized_row_reader.hpp:64] mem_size_ = 24
I1230 15:22:17.527997  8870 serialized_row_reader.hpp:64] mem_size_ = 24
I1230 15:22:17.528008  8870 serialized_row_reader.hpp:64] mem_size_ = 24
I1230 15:22:17.528018  8870 serialized_row_reader.hpp:64] mem_size_ = 24
I1230 15:22:17.528100  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 6 There's a previous request requesting clock 6
I1230 15:22:17.528393  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 1 There's a previous request requesting clock 1
I1230 15:22:17.528705  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 1 There's a previous request requesting clock 1
I1230 15:22:17.529086  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 1 There's a previous request requesting clock 1
I1230 15:22:17.529573  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 1 There's a previous request requesting clock 1
I1230 15:22:17.529762  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 1 There's a previous request requesting clock 1
I1230 15:22:17.530083  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 1 There's a previous request requesting clock 1
I1230 15:22:17.530362  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 1 There's a previous request requesting clock 1
I1230 15:22:17.590853  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 1 There's a previous request requesting clock 1
I1230 15:22:17.597518  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 1 There's a previous request requesting clock 1
I1230 15:22:17.597622  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 1 There's a previous request requesting clock 1
I1230 15:22:17.599817  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 1 There's a previous request requesting clock 1
I1230 15:22:17.599916  8870 ssp_push_row_request_oplog_mgr.cpp:55] I'm requesting clock is 1 There's a previous request requesting clock 1
I1230 15:22:17.601063  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.601071  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 4
I1230 15:22:17.601075  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 4
I1230 15:22:17.601078  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.601080  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.603108  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.603118  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 4
I1230 15:22:17.603121  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 4
I1230 15:22:17.603124  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.603127  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.603134  8867 server.cpp:236] Serializing table 2
I1230 15:22:17.603173  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.603176  8867 server.cpp:236] Serializing table 1
I1230 15:22:17.603179  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.603181  8867 server.cpp:236] Serializing table 0
I1230 15:22:17.603184  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.603328  8870 server_version_mgr.cpp:51] Server id = 1000 original server version = 5Set server version = 6
